_type,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,user._type,user.username,user.id,user.displayname,user.description,user.rawDescription,user.descriptionUrls,user.verified,user.created,user.followersCount,user.friendsCount,user.statusesCount,user.favouritesCount,user.listedCount,user.mediaCount,user.location,user.protected,user.linkUrl,user.linkTcourl,user.profileImageUrl,user.profileBannerUrl,user.url,coordinates._type,coordinates.longitude,coordinates.latitude,place._type,place.fullName,place.name,place.type,place.country,place.countryCode,quotedTweet._type,quotedTweet.url,quotedTweet.date,quotedTweet.content,quotedTweet.renderedContent,quotedTweet.id,quotedTweet.user._type,quotedTweet.user.username,quotedTweet.user.id,quotedTweet.user.displayname,quotedTweet.user.description,quotedTweet.user.rawDescription,quotedTweet.user.descriptionUrls,quotedTweet.user.verified,quotedTweet.user.created,quotedTweet.user.followersCount,quotedTweet.user.friendsCount,quotedTweet.user.statusesCount,quotedTweet.user.favouritesCount,quotedTweet.user.listedCount,quotedTweet.user.mediaCount,quotedTweet.user.location,quotedTweet.user.protected,quotedTweet.user.linkUrl,quotedTweet.user.linkTcourl,quotedTweet.user.profileImageUrl,quotedTweet.user.profileBannerUrl,quotedTweet.user.url,quotedTweet.replyCount,quotedTweet.retweetCount,quotedTweet.likeCount,quotedTweet.quoteCount,quotedTweet.conversationId,quotedTweet.lang,quotedTweet.source,quotedTweet.sourceUrl,quotedTweet.sourceLabel,quotedTweet.outlinks,quotedTweet.tcooutlinks,quotedTweet.media,quotedTweet.retweetedTweet,quotedTweet.quotedTweet,quotedTweet.inReplyToTweetId,quotedTweet.inReplyToUser,quotedTweet.mentionedUsers,quotedTweet.coordinates,quotedTweet.place,quotedTweet.hashtags,quotedTweet.cashtags,inReplyToUser._type,inReplyToUser.username,inReplyToUser.id,inReplyToUser.displayname,inReplyToUser.description,inReplyToUser.rawDescription,inReplyToUser.descriptionUrls,inReplyToUser.verified,inReplyToUser.created,inReplyToUser.followersCount,inReplyToUser.friendsCount,inReplyToUser.statusesCount,inReplyToUser.favouritesCount,inReplyToUser.listedCount,inReplyToUser.mediaCount,inReplyToUser.location,inReplyToUser.protected,inReplyToUser.linkUrl,inReplyToUser.linkTcourl,inReplyToUser.profileImageUrl,inReplyToUser.profileBannerUrl,inReplyToUser.url
snscrape.modules.twitter.Tweet,https://twitter.com/azriisukorr/status/1430500838422716422,2021-08-25T12:02:31+00:00,"The revision of Minimum Wage in Malaysia/
Semakan semula tahap Gaji Minima di Malaysia - Sign the Petition! https://t.co/6utZCG3lPp via @Change","The revision of Minimum Wage in Malaysia/
Semakan semula tahap Gaji Minima di Malaysia - Sign the Petition! chng.it/WkCfJSLk via @Change",1430500838422716422,0,1,0,0,1430500838422716422,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['http://chng.it/WkCfJSLk'],['https://t.co/6utZCG3lPp'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,azriisukorr,224123787,🇲🇾 Azri Sukor,,,,False,2010-12-08T05:57:41+00:00,951,760,48109,15318,1,221,,False,,,https://pbs.twimg.com/profile_images/805740800243961856/8pc91yHD_normal.jpg,https://pbs.twimg.com/profile_banners/224123787/1478173397,https://twitter.com/azriisukorr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/ilovejauv/status/1430454625337896962,2021-08-25T08:58:53+00:00,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! https://t.co/0SxuVUGY7d via @Change,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! chng.it/QgBGPmJw8k via @Change,1430454625337896962,0,0,0,0,1430454625337896962,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://chng.it/QgBGPmJw8k'],['https://t.co/0SxuVUGY7d'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,ilovejauv,1199366434612056064,xn,wake me up when September ends🥴,wake me up when September ends🥴,,False,2019-11-26T16:37:09+00:00,22,213,1129,3586,0,78,my wonderland ,False,,,https://pbs.twimg.com/profile_images/1410544701007024131/6-6EfdGT_normal.jpg,https://pbs.twimg.com/profile_banners/1199366434612056064/1624088265,https://twitter.com/ilovejauv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/AbuAqilSelangor/status/1429942115161698311,2021-08-23T23:02:21+00:00,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! https://t.co/brDqlu50Ey via @Change,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! chng.it/pPT7hNDN via @Change,1429942115161698311,0,0,0,0,1429942115161698311,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['http://chng.it/pPT7hNDN'],['https://t.co/brDqlu50Ey'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,AbuAqilSelangor,619177907,Abu Aqil 🇵🇸🇲🇾,#FreePalestine #FreeGaza,#FreePalestine #FreeGaza,,False,2012-06-26T15:35:04+00:00,166,119,12037,3275,0,1754,Kuala Lumpur,False,,,https://pbs.twimg.com/profile_images/1412337163065126914/ma_ZD_6C_normal.jpg,https://pbs.twimg.com/profile_banners/619177907/1625566214,https://twitter.com/AbuAqilSelangor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/enhk79/status/1429415585666846721,2021-08-22T12:10:07+00:00,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! https://t.co/qAaLiC0yPD via @Change,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! chng.it/RpFbqYMG via @Change,1429415585666846721,0,0,0,0,1429415585666846721,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://chng.it/RpFbqYMG'],['https://t.co/qAaLiC0yPD'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,enhk79,2267018280,HK,,,,False,2013-12-29T07:02:09+00:00,17,150,1141,4595,0,5,Johor Bahru,False,,,https://pbs.twimg.com/profile_images/1400117464218755074/B5W08zFg_normal.jpg,https://pbs.twimg.com/profile_banners/2267018280/1622349963,https://twitter.com/enhk79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/zammy_raz/status/1429360410948341773,2021-08-22T08:30:52+00:00,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! https://t.co/kLZkvaGDpn via @Change,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! chng.it/tyM2xqq8 via @Change,1429360410948341773,0,0,0,0,1429360410948341773,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://chng.it/tyM2xqq8'],['https://t.co/kLZkvaGDpn'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,zammy_raz,1093655711769186305,Aniki 😈,wishing for death by heart attack on the daily and down bad,wishing for death by heart attack on the daily and down bad,,False,2019-02-07T23:40:15+00:00,34,253,3614,12147,2,97,Kuala Lumpur Federal Territory,False,,,https://pbs.twimg.com/profile_images/1284089824194879488/8Lx1h7Qg_normal.jpg,,https://twitter.com/zammy_raz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/JHisgalus/status/1429231460221739009,2021-08-21T23:58:28+00:00,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! https://t.co/iA6AACQ1Xc via @Change,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! chng.it/JYhGGNnW via @Change,1429231460221739009,0,0,0,0,1429231460221739009,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['http://chng.it/JYhGGNnW'],['https://t.co/iA6AACQ1Xc'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,JHisgalus,1415458655244197888,Axuba Hisgalus,Universal citizen,Universal citizen,,False,2021-07-14T23:52:24+00:00,1,22,69,30,2,19,Alpha Centauri,False,http://www.alphacentauri.com,https://t.co/ldDVQnGeEA,https://pbs.twimg.com/profile_images/1423553970841088004/UEjrPOKS_normal.jpg,,https://twitter.com/JHisgalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/AnnPatr47116464/status/1429110262318071813,2021-08-21T15:56:52+00:00,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! https://t.co/1gwcSRKULU via @Change,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! chng.it/4Nrz6xvX via @Change,1429110262318071813,0,0,0,0,1429110262318071813,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://chng.it/4Nrz6xvX'],['https://t.co/1gwcSRKULU'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,AnnPatr47116464,1162017465909440514,Ann Patrick,Stay home mothers,Stay home mothers,,False,2019-08-15T15:05:27+00:00,1,59,18,1,0,0,Sabah,False,,,https://pbs.twimg.com/profile_images/1162021350434717697/9jDMRvw7_normal.jpg,https://pbs.twimg.com/profile_banners/1162017465909440514/1565882460,https://twitter.com/AnnPatr47116464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/HayaoopMikazaki/status/1429069040975110150,2021-08-21T13:13:04+00:00,Malaysians: Make oyen the new Prime Minister of Malaysia - Sign the Petition! https://t.co/1nBX80S0dC via @Change,Malaysians: Make oyen the new Prime Minister of Malaysia - Sign the Petition! chng.it/TNND8gGK via @Change,1429069040975110150,0,0,0,0,1429069040975110150,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['http://chng.it/TNND8gGK'],['https://t.co/1nBX80S0dC'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,HayaoopMikazaki,1017981571507236864,All Cops Are Cibai 🏴,"the universe has my back
#LAWAN","the universe has my back
#LAWAN",,False,2018-07-14T03:58:14+00:00,97,405,30611,34028,0,128,she/they,False,http://mysprdaftar.spr.gov.my/daftar,https://t.co/DF0413nUqt,https://pbs.twimg.com/profile_images/1419324184748986373/qM0wZ4V3_normal.jpg,https://pbs.twimg.com/profile_banners/1017981571507236864/1625669788,https://twitter.com/HayaoopMikazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/tanyipiyn/status/1429059756161855502,2021-08-21T12:36:11+00:00,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! https://t.co/7XH58ohS7S 来自 @Change,The people of Malaysia: Anwar Ibrahim sebagai PM ke 9 Malaysia - Sign the Petition! chng.it/rdVDVd7z 来自 @Change,1429059756161855502,0,0,0,0,1429059756161855502,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['http://chng.it/rdVDVd7z'],['https://t.co/7XH58ohS7S'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,tanyipiyn,3140331570,tufrog,,,,False,2015-04-05T14:24:31+00:00,3,129,17,25,0,1,,False,,,https://pbs.twimg.com/profile_images/1285391617092800513/oLfATOMg_normal.jpg,,https://twitter.com/tanyipiyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Jxhia/status/1429005784512286721,2021-08-21T09:01:43+00:00,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! https://t.co/zalJKnxUx4 via @Change,Yang di-Pertuan Agong: We don't want  Ismail Sabri Yaakob to be prime minister Malaysia - Sign the Petition! chng.it/Tzr5GTMm via @Change,1429005784512286721,0,0,0,0,1429005784512286721,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['http://chng.it/Tzr5GTMm'],['https://t.co/zalJKnxUx4'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Change', 'id': 15947602, 'displayname': 'Change.org', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Change'}]",,,,,snscrape.modules.twitter.User,Jxhia,42408733,Jxhia,a little girl on the outside hardhead on the inside ✌🏻,a little girl on the outside hardhead on the inside ✌🏻,,False,2009-05-25T13:54:59+00:00,1684,330,17728,3320,6,1038,,False,https://m.youtube.com/user/jxhiawong,https://t.co/1nmeBuWNm6,https://pbs.twimg.com/profile_images/1378737610319745025/YiOFd6zP_normal.jpg,https://pbs.twimg.com/profile_banners/42408733/1594051785,https://twitter.com/Jxhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
